name;seq;start;end;diff
TIGR00587;3;1479501543463;1479501567302;23839;2.704608553095568
TIGR00588;2;1479501567306;1479501567422;116;
TIGR00589;3;1479501567425;1479501575541;8116;<
TIGR00593;2;1479501575544;1479501575700;156;
TIGR00594;3;1479501575704;1479501600085;24381;<
TIGR00595;3;1479501600088;1479501618496;18408;<
TIGR00604;3;1479501618500;1479501637057;18557;<
TIGR00606;2;1479501637060;1479501637141;81;
TIGR00608;2;1479501637145;1479501637261;116;
TIGR00609;3;1479501637265;1479501665476;28211;<
TIGR00611;2;1479501665480;1479501665611;131;
TIGR00612;2;1479501665615;1479501665746;131;
TIGR00613;2;1479501665750;1479501665866;116;
TIGR00614;3;1479501665870;1479501691232;25362;<
TIGR00615;3;1479501691236;1479501699869;8633;<
TIGR00616;2;1479501699872;1479501699995;123;
TIGR00618;3;1479501699999;1479501740529;40530;5.829968010166340
TIGR00619;2;1479501740533;1479501740672;139;
TIGR00621;4;1479501740675;1479501787507;46832;<
<
TIGR00628;4;1479501787510;1479501829761;42251;<
<
TIGR00630;3;1479501829765;1479501842444;12679;<
TIGR00631;3;1479501842448;1479501855441;12993;<
TIGR00632;2;1479501855445;1479501855517;72;
TIGR00633;3;1479501855521;1479501876395;20874;<
TIGR00634;2;1479501876399;1479501876527;128;
TIGR00635;4;1479501876531;1479501943275;66744;<
<
TIGR00641;3;1479501943279;1479501964991;21712;<
TIGR00642;2;1479501964995;1479501965130;135;
TIGR00643;2;1479501965134;1479501965293;159;
TIGR00644;2;1479501965297;1479501965472;175;
TIGR00646;2;1479501965476;1479501965587;111;
TIGR00647;2;1479501965591;1479501965676;85;
TIGR00648;2;1479501965680;1479501965783;103;
TIGR00649;2;1479501965787;1479501965920;133;
TIGR00651;5;1479501965923;1479502211006;245083;<
<
2.530964114533163
TIGR00655;2;1479502211010;1479502211112;102;
TIGR00656;2;1479502211116;1479502211253;137;
TIGR00657;2;1479502211257;1479502211396;139;
TIGR00658;2;1479502211400;1479502211527;127;
TIGR00661;2;1479502211530;1479502211644;114;
TIGR00663;2;1479502211648;1479502211753;105;
TIGR00665;3;1479502211757;1479502236100;24343;<
TIGR00669;2;1479502236104;1479502236190;86;
TIGR00670;2;1479502236194;1479502236309;115;
TIGR00671;2;1479502236313;1479502236389;76;
TIGR00674;2;1479502236393;1479502236509;116;
TIGR00675;4;1479502236513;1479502377771;141258;<
<
TIGR00676;2;1479502377775;1479502377888;113;
TIGR00677;2;1479502377892;1479502378006;114;
TIGR00678;2;1479502378010;1479502378120;110;
TIGR00679;2;1479502378124;1479502378205;81;
TIGR00682;2;1479502378209;1479502378309;100;
TIGR00683;2;1479502378313;1479502378438;125;
TIGR00687;3;1479502378441;1479502396541;18100;<
TIGR00689;3;1479502396545;1479502415034;18489;<
TIGR00690;2;1479502415037;1479502415093;56;
TIGR00691;3;1479502415096;1479502432697;17601;<
TIGR00692;2;1479502432701;1479502432828;127;
TIGR00693;2;1479502432831;1479502432941;110;
TIGR00695;2;1479502432945;1479502433076;131;
TIGR00696;2;1479502433080;1479502433187;107;
TIGR00698;2;1479502433191;1479502433312;121;
TIGR00699;2;1479502433316;1479502433437;121;
TIGR00700;3;1479502433440;1479502456924;23484;<
TIGR00704;2;1479502456928;1479502457095;167;
TIGR00705;2;1479502457099;1479502457189;90;
TIGR00707;3;1479502457193;1479502472087;14894;<
TIGR00708;2;1479502472091;1479502472160;69;
TIGR00709;4;1479502472164;1479502565655;93491;<
<
TIGR00711;2;1479502565658;1479502565827;169;
TIGR00713;3;1479502565830;1479502589998;24168;<
TIGR00714;2;1479502590002;1479502590064;62;
TIGR00717;2;1479502590068;1479502590186;118;
TIGR00720;2;1479502590190;1479502590308;118;
TIGR00722;2;1479502590311;1479502590425;114;
TIGR00723;2;1479502590429;1479502590512;83;
TIGR00726;2;1479502590515;1479502590607;92;
TIGR00729;3;1479502590611;1479502611895;21284;<
